:START_ID,:END_ID,:TYPE,rel,support_count:int,support_probability:float,log_support_odds:float,batch_ids,edge_probability:float
event:1,claim:1,CAUSAL_LINK,CAUSES,,,,,
event:1,event:2,CAUSAL_LINK,CAUSES,,,,,
event:1,claim:2,CAUSAL_LINK,CAUSES,,,,,
event:1,claim:3,CAUSAL_LINK,CAUSES,,,,,
event:1,topic:1,CAUSAL_LINK,CAUSES,,,,,
event:1,actor:1,CAUSAL_LINK,CAUSES,,,,,
event:1,claim:4,CAUSAL_LINK,CAUSES,,,,,
event:1,event:3,CAUSAL_LINK,CAUSES,,,,,
event:1,event:4,CAUSAL_LINK,CAUSES,,,,,
event:6,event:7,CAUSAL_LINK,CAUSES,,,,,
claim:5,event:1,CAUSAL_LINK,CAUSES,,,,,
event:5,event:6,CAUSAL_LINK,CAUSES,,,,,
claim:6,event:1,CAUSAL_LINK,CAUSES,,,,,
event:7,event:8,CAUSAL_LINK,CAUSES,,,,,
event:8,event:9,CAUSAL_LINK,CAUSES,,,,,
actor:2,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:1,event:2,CAUSAL_LINK,CAUSES,,,,,
claim:2,event:2,CAUSAL_LINK,CAUSES,,,,,
event:1,event:5,CAUSAL_LINK,CAUSES,,,,,
event:1,event:6,CAUSAL_LINK,CAUSES,,,,,
event:4,event:5,CAUSAL_LINK,CAUSES,,,,,
event:5,event:6,CAUSAL_LINK,MEDIATES,,,,,
actor:3,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:10,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:11,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:7,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:7,event:2,CAUSAL_LINK,CAUSES,,,,,
claim:8,event:1,CAUSAL_LINK,CAUSES,,,,,
claim:9,event:1,CAUSAL_LINK,CAUSES,,,,,
event:2,actor:1,CAUSAL_LINK,CAUSES,,,,,
event:2,event:3,CAUSAL_LINK,CAUSES,,,,,
event:2,topic:2,CAUSAL_LINK,CAUSES,,,,,
event:3,event:4,CAUSAL_LINK,CAUSES,,,,,
event:3,event:4,CAUSAL_LINK,ENABLES,,,,,
event:3,event:4,CAUSAL_LINK,MEDIATES,,,,,
event:3,topic:3,CAUSAL_LINK,CAUSES,,,,,
event:4,actor:1,CAUSAL_LINK,CAUSES,,,,,
event:4,event:5,CAUSAL_LINK,ENABLES,,,,,
event:4,event:6,CAUSAL_LINK,CAUSES,,,,,
event:5,actor:5,CAUSAL_LINK,CAUSES,,,,,
event:9,event:10,CAUSAL_LINK,CAUSES,,,,,
event:9,event:10,CAUSAL_LINK,MEDIATES,,,,,
event:german-retreat,event:russian-advance,CAUSAL_LINK,CAUSES,,,,,
event:german_attack,claim:german_advancement,CAUSAL_LINK,CAUSES,,,,,
event:german_attack,event:british_counterattack,CAUSAL_LINK,CAUSES,,,,,
event:persia-sinking,claim:persia-torpedoed,CAUSAL_LINK,CAUSES,,,,,
event:verdun-battle,claim:verdun-battle,CAUSAL_LINK,CAUSES,,,,,
actor:107th_engineer_train,claim:confusion_107th_regiment,CAUSAL_LINK,CAUSES,,,,,
actor:107th_regiment_of_engineers,claim:confusion_107th_regiment,CAUSAL_LINK,CAUSES,,,,,
