id:ID,label,type,support_count:int,support_probability:float,base_rate:float,batch_ids,description,date,location,:LABEL
actor:1,James J. Hill,actor,,,,,,,,actor
actor:10,Francis,Actor,,,,,,,,Actor
actor:104th_field_signal_battalion,104th Field Signal Battalion,actor,,,,,,,,actor
actor:107th_engineer_train,107th Engineer Train,actor,,,,,,,,actor
actor:107th_regiment_of_engineers,107th Regiment of Engineers,actor,,,,,,,,actor
actor:11,Attorney Bullowa,Actor,,,,,,,,Actor
actor:110th_field_artillery,110th Field Artillery,actor,,,,,,,,actor
actor:12,A. G. Bailey,Actor,,,,,,,,Actor
actor:13,Attorney Bullitt,Actor,,,,,,,,Actor
actor:14,Lieut. Berg,Actor,,,,,,,,Actor
actor:14th_and_15th_streets,14th and 15th Streets,Actor,,,,,,,,Actor
actor:14th_and_f_street,14th and F Street,Actor,,,,,,,,Actor
actor:14th_and_georgetown,14th and Georgetown,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_f_street,14th and Georgetown and F Street,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_new_york_and_f_and_pennsylvania_avenues,14th and Georgetown and New York and F and Pennsylvania Avenues,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_new_york_and_f_street,14th and Georgetown and New York and F Street,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_new_york_and_pennsylvania_and_f_street,14th and Georgetown and New York and Pennsylvania and F Street,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_new_york_and_pennsylvania_avenues,14th and Georgetown and New York and Pennsylvania Avenues,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_new_york_avenues,14th and Georgetown and New York Avenues,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_pennsylvania_and_new_york_avenues,14th and Georgetown and Pennsylvania and New York Avenues,Actor,,,,,,,,Actor
actor:14th_and_georgetown_and_pennsylvania_avenues,14th and Georgetown and Pennsylvania Avenues,Actor,,,,,,,,Actor
actor:14th_and_new_york_and_f_street,14th and New York and F Street,Actor,,,,,,,,Actor
actor:14th_and_new_york_and_pennsylvania_avenues,14th and New York and Pennsylvania Avenues,Actor,,,,,,,,Actor
actor:14th_and_new_york_avenues,14th and New York Avenues,Actor,,,,,,,,Actor
actor:14th_and_pennsylvania_and_new_york_avenues,14th and Pennsylvania and New York Avenues,Actor,,,,,,,,Actor
actor:14th_and_pennsylvania_avenues,14th and Pennsylvania Avenues,Actor,,,,,,,,Actor
actor:14th_street,14th Street,Actor,,,,,,,,Actor
actor:15,Deputy West,Actor,,,,,,,,Actor
actor:158th-infantry,158th Infantry,actor,,,,,,,,actor
actor:15th_street,15th Street,Actor,,,,,,,,Actor
actor:16,Attorney Bullowa,Actor,,,,,,,,Actor
actor:17,Attorney Bullitt,Actor,,,,,,,,Actor
actor:17th-street,17th Street,actor,,,,,,,,actor
actor:18,Attorney Castner,Actor,,,,,,,,Actor
actor:19,Attorney Curran,Actor,,,,,,,,Actor
actor:1916-06-06:british_admiralty,british_admiralty,actor,,,,,,,,actor
actor:1916-06-06:british_cabinet,british_cabinet,actor,,,,,,,,actor
actor:1916-06-06:li_yuan_hung,li_yuan_hung,actor,,,,,,,,actor
actor:1916-06-06:premier_tuan_chi_jui,premier_tuan_chi_jui,actor,,,,,,,,actor
actor:1916-06-06:sir_william_robertson,sir_william_robertson,actor,,,,,,,,actor
actor:1916-09-19:american_league,American League,actor,,,,,,,,actor
actor:1916-09-19:bulgarian_forces,Bulgarian Forces,actor,,,,,,,,actor
actor:1916-09-19:charles_e_hughes,Charles E. Hughes,actor,,,,,,,,actor
actor:1916-09-19:charles_w_fairbanks,Charles W. Fairbanks,actor,,,,,,,,actor
actor:1916-09-19:edward_donahue,Edward Donahue,actor,,,,,,,,actor
actor:1916-09-19:entente_allied_forces,Entente Allied Forces,actor,,,,,,,,actor
actor:1916-09-19:episcopal_church,Episcopal Church,actor,,,,,,,,actor
actor:1916-09-19:harry_hussell,Harry Hussell,actor,,,,,,,,actor
actor:1916-09-19:helen_evers,Helen Evers,actor,,,,,,,,actor
actor:1916-09-19:james_christian,James Christian,actor,,,,,,,,actor
actor:1916-09-19:president_wilson,President Wilson,actor,,,,,,,,actor
actor:1916-09-19:regina_klipper,Regina Klipper,actor,,,,,,,,actor
actor:1916-09-19:serbian_forces,Serbian Forces,actor,,,,,,,,actor
actor:1916-09-19:united_states_secret_service,United States Secret Service,actor,,,,,,,,actor
actor:1916-11-05:mr-dorsey-ketchison,Mr. Dorsey Ketchison,Actor,,,,,,,,Actor
actor:1916-11-05:mr-fielder,Mr. Fielder,Actor,,,,,,,,Actor
actor:1916-11-05:mr-hughes,Mr. Hughes,Actor,,,,,,,,Actor
actor:1916-11-05:mr-ralston,Mr. Ralston,Actor,,,,,,,,Actor
actor:1916-11-05:mr-wilson,Mr. Wilson,Actor,,,,,,,,Actor
actor:1916-11-05:the-times-correspondents,The Times Correspondents,Actor,,,,,,,,Actor
actor:1916-12-05:congress,Congress,Actor,,,,,,,,Actor
actor:1916-12-05:president_wilson,President Wilson,Actor,,,,,,,,Actor
actor:1916-12-05:suffragists,Suffragists,Actor,,,,,,,,Actor
actor:1917-02-09:senate,United States Senate,actor,,,,,,,,actor
actor:1917-02-09:smoot,Senator Smoot,actor,,,,,,,,actor
actor:1917-02-09:walter-smith,Senator Walter Smith,actor,,,,,,,,actor
actor:1917-03-16:capital_traction_company,Capital Traction Company,Actor,,,,,,,,Actor
actor:1917-03-16:clarence_p_king,Clarence P. King,Actor,,,,,,,,Actor
actor:1917-03-16:district_commissioners,District Commissioners,Actor,,,,,,,,Actor
actor:1917-03-16:grand_duke_michael,Grand Duke Michael,Actor,,,,,,,,Actor
actor:1917-03-16:nicholas_ii,Nicholas II,Actor,,,,,,,,Actor
actor:1917-03-16:union,Union,Actor,,,,,,,,Actor
actor:1917-03-16:washington_railway_and_electric_company,Washington Railway and Electric Company,Actor,,,,,,,,Actor
actor:1917-11-06:japan-special-ambassador,Japan Special Ambassador,Actor,,,,,,,,Actor
actor:1917-11-06:us-state-department,U.S. State Department,Actor,,,,,,,,Actor
actor:1917-11-13:kerensky,Premier Kerensky,actor,,,,,,,,actor
actor:1917-11-13:korniloff,General Korniloff,actor,,,,,,,,actor
actor:1917-11-13:mouravieff,Commander-in-Chief Mouravieff,actor,,,,,,,,actor
actor:1917-12-28:foreign-minister-pichon,Foreign Minister Pichon,Actor,,,,,,,,Actor
actor:1917-12-28:premier-lloyd-george,Premier Lloyd George,Actor,,,,,,,,Actor
actor:1918-06-27:associated-press,Associated Press,actor,,,,,,,,actor
actor:1918-06-27:austrian-command,Austrian command,actor,,,,,,,,actor
actor:1918-06-27:general-diaz,General Diaz,actor,,,,,,,,actor
actor:1918-06-27:holas-correspondent,Havas correspondent in Basel,actor,,,,,,,,actor
actor:1918-06-27:italian-auxiliary-cruiser-sailors,Italian auxiliary cruiser sailors,actor,,,,,,,,actor
actor:1918-06-27:italian-war-office,Italian war office,actor,,,,,,,,actor
actor:1918-06-27:president-wilson,President Wilson,actor,,,,,,,,actor
actor:1918-07-04:foreign_born,Foreign-Born,Actor,,,,,,,,Actor
actor:1918-07-04:foreign_countries,Foreign Countries,Actor,,,,,,,,Actor
actor:1918-07-04:president_wilson,President Wilson,Actor,,,,,,,,Actor
actor:1918-07-04:washington_city,Washington City,Actor,,,,,,,,Actor
actor:1918-07-09:associated-press,Associated Press,actor,,,,,,,,actor
actor:1918-07-19:american-troops,American Troops,Actor,,,,,,,,Actor
actor:1918-07-19:french-troops,French Troops,Actor,,,,,,,,Actor
actor:1918-07-19:german-troops,German Troops,Actor,,,,,,,,Actor
actor:1918-07-19:italian-troops,Italian Troops,Actor,,,,,,,,Actor
actor:1918-10-25:admiral-benson,Admiral Benson,Actor,,,,,,,,Actor
actor:1918-10-25:ambassador-page,Ambassador Page,Actor,,,,,,,,Actor
actor:1918-10-25:col-house,Col. House,Actor,,,,,,,,Actor
actor:1918-10-25:mr-taft,Mr. Taft,Actor,,,,,,,,Actor
actor:1918-10-25:president-wilson,President Wilson,Actor,,,,,,,,Actor
actor:1918-10-25:prince-maximilian,Prince Maximilian,Actor,,,,,,,,Actor
actor:1918-10-25:reichstag,Reichstag,Actor,,,,,,,,Actor
actor:1918-12-08:board-of-trade,Board of Trade,actor,,,,,,,,actor
actor:1918-12-08:house-committee,House Committee,actor,,,,,,,,actor
actor:1918-12-08:senate,Senate,actor,,,,,,,,actor
actor:1920-02-29:director-general-hines,Director General Hines,actor,,,,,,,,actor
actor:1920-02-29:president-wilson,President Wilson,actor,,,,,,,,actor
actor:1920-04-11:switchmen,Switchmen,Actor,,,,,,,,Actor
actor:1920-04-13:attorney-general-palmer,Attorney General Palmer,Actor,,,,,,,,Actor
actor:1920-04-13:president-wilson,President Wilson,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-agriculture,Secretary of Agriculture,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-commerce,Secretary of Commerce,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-education,Secretary of Education,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-foreign-affairs,Secretary of Foreign Affairs,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-health-and-wellness,Secretary of Health and Wellness,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-internal-affairs,Secretary of Internal Affairs,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-justice,Secretary of Justice,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-justice-field-agent,Justice Field Agent,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-labor,Secretary of Labor,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-public-works,Secretary of Public Works,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-revenue,Secretary of Revenue,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-state-lansing,Secretary of State Lansing,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-cabinet,Cabinet Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-congress,Congress Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution,Constitution Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-advocacy,Advocacy Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-amendments,Amendments Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-education,Education Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-enforcement,Enforcement Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-implementation,Implementation Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-interpretations,Interpretations Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-promotion,Promotion Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-protection,Protection Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-constitution-research,Research Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-executive,Executive Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-house,House Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-interior,Secretary of the Interior,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-navy,Secretary of the Navy,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-people,Public Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-presidency,Presidency Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-press,Press Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-senate,Senate Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-supreme-court,Supreme Court Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-treasury,Secretary of the Treasury,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-the-white-house,White House Secretary,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-transportation,Secretary of Transportation,Actor,,,,,,,,Actor
actor:1920-04-13:secretary-of-war,Secretary of War,Actor,,,,,,,,Actor
actor:1920-07-14:gov_cox,Governor Cox,Actor,,,,,,,,Actor
actor:1920-07-14:sen_harding,Senator Harding,Actor,,,,,,,,Actor
actor:1920-10-16:german-american-leaders,German-American Leaders,Actor,,,,,,,,Actor
actor:1920-10-16:german-vote,German Vote,Actor,,,,,,,,Actor
actor:1920-10-16:gov-cox,Governor Cox,Actor,,,,,,,,Actor
actor:1920-10-16:hungarian-leaders,Hungarian Leaders,Actor,,,,,,,,Actor
actor:1920-10-16:hungarian-vote,Hungarian Vote,Actor,,,,,,,,Actor
actor:1920-10-16:italian-leaders,Italian Leaders,Actor,,,,,,,,Actor
actor:1920-10-16:italian-vote,Italian Vote,Actor,,,,,,,,Actor
actor:1920-10-16:mr-colby,Mr. Colby,Actor,,,,,,,,Actor
actor:1920-10-16:mr-white,Mr. White,Actor,,,,,,,,Actor
actor:1920-10-16:new-york-democratic-press,New York Democratic Press,Actor,,,,,,,,Actor
actor:1920-10-16:polish-leaders,Polish Leaders,Actor,,,,,,,,Actor
actor:1920-10-16:polish-vote,Polish Vote,Actor,,,,,,,,Actor
actor:1920-10-16:republican-national-management,Republican National Management,Actor,,,,,,,,Actor
actor:1920-10-16:russian-leaders,Russian Leaders,Actor,,,,,,,,Actor
actor:1920-10-16:russian-vote,Russian Vote,Actor,,,,,,,,Actor
actor:1920-10-16:senator-harding,Senator Harding,Actor,,,,,,,,Actor
actor:1920-10-22:british-government,British Government,Actor,,,,,,,,Actor
actor:1920-10-22:british-labor-leaders,British Labor Leaders,Actor,,,,,,,,Actor
actor:1920-10-22:british-miners-internationale,British Miners' Internationale,Actor,,,,,,,,Actor
actor:1920-10-22:corinne-roosevelt-robinson,Corinne Roosevelt Robinson,Actor,,,,,,,,Actor
